"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Cart","0","0","Truy cập inventory khi chưa login","0"
"2","","0","Cart","0","0","Xóa sản phẩm khỏi giỏ - Standard User","0"
"4","","0","Cart","0","0","Thêm 1 sản phẩm - Standard User","0"
"2","","0","Cart","0","0","Add to cart bị bug - Problem User","0"
"2","","0","Cart","0","0","Thêm nhiều sản phẩm - Standard User","0"
"1","","0","Cart","0","0","Đo thời gian add to cart - Performance User","0"
"1","","0","Cart","0","0","Thêm tất cả sản phẩm - Standard User","0"
"2","","0","Cart","0","0","Add to cart trả về lỗi - Error User","0"
"1","","0","Cart","0","0","Giỏ hàng giữ nguyên sau refresh - Standard User","0"
