"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31090","test_back_after_add_cart_persists","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31124","test_add_to_cart_from_detail[bike_light]","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31176","test_product_info_displayed[bolt_tshirt]","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31091","test_back_to_products","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31220","test_product_info_displayed[bike_light]","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31087","test_remove_from_detail","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31069","test_add_to_cart_from_detail[onesie]","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31103","test_add_from_detail_verify_in_cart","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
"","31099","test_product_info_displayed[onesie]","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
